1	jose123             	José Augusto                           	joao@antonio.com              	987654              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
65	lcvtgblrfdprgp      	José Antônio                          	jfsaqvxk@ehcbcbyz.com         	tzmyvdcskusbwaii    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
66	hzdy                	José Antônio                          	pszqz@hmsd.com                	ywlzmubxytwtiusk    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
67	tjjietzi            	José Antônio                          	bqnq@qhkkb.com                	trehw               	Rua Foo Casa Bar                        	0	0	3	0.000000	0
68	akxzuncjnk          	José Antônio                          	qincos@gfmdswot.com           	spnswqmtos          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
69	hnmyuwmehnqbvuckhp  	José Antônio                          	skvpzodg@eopr.com             	fqppskxjal          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
70	ewjdr               	José Antônio                          	ycifgyb@xirfsr.com            	exfwefk             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
71	wdwszuomcow         	José Antônio                          	zoznwxw@umndb.com             	nnhqxav             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
72	doznecddtxbbhql     	José Antônio                          	jguxsmtq@xftr.com             	wbzyapkuqnorp       	Rua Foo Casa Bar                        	0	0	3	0.000000	0
73	omdkzbrfbljjh       	José Antônio                          	rfqd@hpva.com                 	adrabjjbmzjx        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
74	rdluijkk            	José Antônio                          	qivqu@huyoaif.com             	ulrowmxvb           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
75	qhefdng             	José Antônio                          	jbueagt@hwsuzc.com            	jvvneiqpqbz         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
76	mzbyaref            	José Antônio                          	hechxjjp@lwcpm.com            	jmmyirilinw         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
77	vbjguserojqxliux    	José Antônio                          	qzookk@nehqzmf.com            	qjgev               	Rua Foo Casa Bar                        	0	0	3	0.000000	0
78	tyzhio              	José Antônio                          	pvpjw@fjgaoxs.com             	hbmpnbaxm           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
79	varlumqfgpt         	José Antônio                          	whia@rwsuka.com               	ladkrorhlsdwou      	Rua Foo Casa Bar                        	0	0	3	0.000000	0
80	fgernhsyvqwzd       	José Antônio                          	btthcnz@dzzqluaz.com          	vxteuzzcekvi        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
81	vgphplzcuvajoinmf   	José Antônio                          	sxoenmk@ixardx.com            	vpquke              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
82	dbcgpu              	José Antônio                          	hnddnof@ftts.com              	ugvnarwabx          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
83	ylpxnyrys           	José Antônio                          	ygpreqn@pffvsg.com            	silznn              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
84	mzgmnyrkfymvd       	José Antônio                          	pnbuasco@mdeb.com             	gfukztmuemffkbfw    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
85	pvxt                	José Antônio                          	mhgs@ytdi.com                 	gnwdmmc             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
86	anlgaxufvtbcycswv   	José Antônio                          	soac@sidg.com                 	grhdpnnsgloe        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
87	ksnllkaio           	José Antônio                          	yluodl@ujdj.com               	dtsbfaivhraprqok    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
88	hlawfbb             	José Antônio                          	desuj@oamkd.com               	pnkneikwtlj         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
89	fexicjod            	José Antônio                          	ornar@ptmryprb.com            	mknethfnbcfu        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
90	cgnzg               	José Antônio                          	tfshgy@ztchmbi.com            	jtjfsrlucgsn        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
91	amht                	José Antônio                          	plafd@dlmtkm.com              	nhcdgghhh           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
92	icygpzouqecnsorjlh  	José Antônio                          	wqoqxbr@rqnlc.com             	zklfminvxhtmgtfq    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
93	rzuwyxoofoeaas      	José Antônio                          	eiimovx@fvzz.com              	marvtgmxohisewc     	Rua Foo Casa Bar                        	0	0	3	0.000000	0
94	nliecowgluf         	José Antônio                          	arkwuxt@rhyiyjt.com           	ugtlkj              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
95	mgmi                	José Antônio                          	usqekvdi@fjyl.com             	fqis                	Rua Foo Casa Bar                        	0	0	3	0.000000	0
96	vhwdzjviv           	José Antônio                          	bglpdvn@bsidpfwq.com          	brpxrnmatvtyqwrs    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
97	cdblhbmyfoeew       	José Antônio                          	cdyw@vbtls.com                	fonyuglcupbor       	Rua Foo Casa Bar                        	0	0	3	0.000000	0
98	cazzppxflcijnfu     	José Antônio                          	vwtzt@ljhs.com                	dpzpwfjd            	Rua Foo Casa Bar                        	0	0	3	0.000000	0
99	iuco                	José Antônio                          	cmvubnpg@zyjd.com             	wtebonsfzzjuwvf     	Rua Foo Casa Bar                        	0	0	3	0.000000	0
100	ukbbrppvwr          	José Antônio                          	tuyzqu@ljzmrv.com             	rjsfygkrnx          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
101	mxbrsuaa            	José Antônio                          	mvmtqzb@rczpc.com             	gljkdcl             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
102	zckwutidkzanznhfa   	José Antônio                          	kniq@mvovzuve.com             	ffjosyx             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
